X,Y,Disp_x,Disp_y
0.095,-0.05,-0.00433150018830161,-0.00460402381472369
0.0975,-0.05,-0.00444549564828608,-0.004823472998172
0.1,-0.05,-0.00455949165044638,-0.00504862203414951
0.1025,-0.05,-0.00467348814143242,-0.00527947096594794
0.105,-0.05,-0.00478748507182923,-0.00551601982993006
0.1075,-0.05,-0.00490148239602646,-0.00575826865637917
0.11,-0.05,-0.00501548007206756,-0.00600621747026434
0.1125,-0.05,-0.00512947806148359,-0.00625986629192774
0.115,-0.05,-0.00524347632911629,-0.00651921513770052
0.1175,-0.05,-0.00535747484293396,-0.00678426402045302
0.12,-0.05,-0.00547147357384371,-0.00705501295008487
0.1225,-0.05,-0.00558547249550283,-0.00733146193396025
0.125,-0.05,-0.00569947158413149,-0.00761361097729302
0.1275,-0.05,-0.00581347081832892,-0.00790146008348663
0.13,-0.05,-0.00592747017889444,-0.00819500925443267
0.1325,-0.05,-0.00604146964865473,-0.00849425849077244
0.135,-0.05,-0.00615546921229819,-0.00879920779212493
0.1375,-0.05,-0.00626946885621708,-0.00910985715728483
0.14,-0.05,-0.0063834685683581,-0.00942620658439361
0.1425,-0.05,-0.00649746833808139,-0.00974825607108664
0.145,-0.05,-0.00661146815602841,-0.0100760056146189
0.1475,-0.05,-0.00672546801399851,-0.0104094552119721
0.15,-0.05,-0.00683946790483411,-0.0107486048599443
0.1525,-0.05,-0.00695346782231445,-0.011093454555226
0.155,-0.05,-0.00706746776105741,-0.0114440042944624
0.1575,-0.05,-0.00718146771642932,-0.0118002540743048
0.16,-0.05,-0.0072954676844623,-0.0121622038914522
0.1625,-0.05,-0.0074094676617787,-0.0125298537426844
0.165,-0.05,-0.00752346764552244,-0.0129032036248878
0.1675,-0.05,-0.00763746763329654,-0.0132822535350751
0.17,-0.05,-0.00775146762310674,-0.0136670034703996
0.1725,-0.05,-0.00786546761331059,-0.0140574534281649
0.175,-0.05,-0.00797946760257171,-0.0144536034058309
0.1775,-0.05,-0.00809346758981872,-0.0148554534010168
0.18,-0.05,-0.00820746757420868,-0.0152630034115018
0.1825,-0.05,-0.00832146755509437,-0.0156762534352225
0.185,-0.05,-0.00843546753199535,-0.0160952034702705
0.1875,-0.05,-0.00854946750457229,-0.0165198535148867
0.19,-0.05,-0.00866346747260436,-0.0169502035674562
0.1925,-0.05,-0.00877746743596932,-0.0173862536265017
0.195,-0.05,-0.00889146739462612,-0.0178280036906761
0.1975,-0.05,-0.00900546734859969,-0.0182754537587557
0.2,-0.05,-0.00911946729796772,-0.018728603829632
0.2025,-0.05,-0.00923346724284922,-0.0191874539023049
0.205,-0.05,-0.00934746718339465,-0.0196520039758743
0.2075,-0.05,-0.00946146711977745,-0.0201222540495333
0.21,-0.05,-0.00957546705218681,-0.0205982041225606
0.2125,-0.05,-0.00968946698082152,-0.0210798541943138
0.215,-0.05,-0.00980346690588476,-0.0215672042642223
0.2175,-0.05,-0.00991746682757975,-0.0220602543317812
0.22,-0.05,-0.0100314667461061,-0.0225590043965448
0.2225,-0.05,-0.0101454666616567,-0.0230634544581213
0.225,-0.05,-0.0102594665744153,-0.0235736045161667
0.2275,-0.05,-0.0103734664845545,-0.0240894545703802
0.23,-0.05,-0.010487466392234,-0.0246110046204988
0.2325,-0.05,-0.0106014662975994,-0.0251382546662929
0.235,-0.05,-0.0107154662007807,-0.0256712047075619
0.2375,-0.05,-0.0108294661018922,-0.02620985474413
0.24,-0.05,-0.0109434660010312,-0.0267542047758423
0.2425,-0.05,-0.0110574658982777,-0.0273042548025611
0.245,-0.05,-0.0111714657936942,-0.0278600048241619
0.2475,-0.05,-0.0112854656873252,-0.0284214548405306
0.25,-0.05,-0.0113994655791969,-0.0289886048515594
0.2525,-0.05,-0.0115134654693175,-0.0295614548571438
0.255,-0.05,-0.0116274653576767,-0.0301400048571793
0.2575,-0.05,-0.0117414652442461,-0.0307242548515578
0.26,-0.05,-0.0118554651289789,-0.0313142048401647
0.2625,-0.05,-0.0119694650118103,-0.0319098548228751
0.265,-0.05,-0.0120834648926576,-0.0325112047995504
0.2675,-0.05,-0.0121974647714207,-0.0331182547700345
0.27,-0.05,-0.0123114646479823,-0.0337310047341506
0.2725,-0.05,-0.0124254645222088,-0.0343494546916963
0.275,-0.05,-0.0125394643939507,-0.0349736046424401
0.2775,-0.05,-0.0126534642630441,-0.0356034545861168
0.28,-0.05,-0.0127674641293116,-0.0362390045224225
0.2825,-0.05,-0.012881463992564,-0.0368802544510101
0.285,-0.05,-0.0129954638526024,-0.0375272043714836
0.2875,-0.05,-0.0131094637092206,-0.0381798542833928
0.29,-0.05,-0.0132234635622078,-0.0388382041862272
0.2925,-0.05,-0.0133374634113526,-0.03950225407941
0.295,-0.05,-0.0134514632564471,-0.0401720039622913
0.2975,-0.05,-0.0135654630972921,-0.0408474538341412
0.3,-0.05,-0.0136794629337029,-0.041528603694143
0.3025,-0.05,-0.013793462765517,-0.0422154535413855
0.305,-0.05,-0.013907462592602,-0.0429080033748554
0.3075,-0.05,-0.0140214624148659,-0.0436062531934296
0.31,-0.05,-0.0141354622322682,-0.0443102029958676
0.3125,-0.05,-0.0142494620448329,-0.0450198527808036
0.315,-0.05,-0.0143634618526643,-0.0457352025467387
0.3175,-0.05,-0.0144774616559639,-0.0464562522920341
0.32,-0.05,-0.0145914614550505,-0.047183002014904
0.3225,-0.05,-0.014705461250383,-0.0479154517134098
0.325,-0.05,-0.0148194610425859,-0.0486536013854551
0.3275,-0.05,-0.0149334608324787,-0.0493974510287818
0.33,-0.05,-0.0150474606211084,-0.0501470006409686
0.3325,-0.05,-0.0151614604097868,-0.0509022502194306
0.335,-0.05,-0.0152754602001313,-0.0516631997614223
0.3375,-0.05,-0.0153894599941116,-0.0524298492640437
0.34,-0.05,-0.0155034597941007,-0.0532021987242493
0.3425,-0.05,-0.015617459602932,-0.0539802481388631
0.345,-0.05,-0.0157314594239621,-0.0547639975045975
