201,-0.0228,0
402,-0.02166,0
603,-0.02052,0
804,-0.01938,0
1005,-0.01824,0
1206,-0.0171,0
1407,-0.01596,0
1608,-0.01482,0
1809,-0.01368,0
2010,-0.01254,0
2211,-0.0114,0
2412,-0.01026,0
2613,-0.00912,0
2814,-0.00798,0
3015,-0.00684,0
3216,-0.0057,0
3417,-0.00456,0
3618,-0.00342,0
3819,-0.00228,0
4020,-0.00114,0
4221,0,0
4422,0.00114,
4623,0.00228,
4824,0.00342,
5025,0.00456,
5226,0.0057,
5427,0.00684,
5628,0.00798,
5829,0.00912,
6030,0.01026,
6231,0.0114,
6432,0.01254,
6633,0.01368,
6834,0.01482,
7035,0.01596,
7236,0.0171,
7437,0.01824,
7638,0.01938,
7839,0.02052,
8040,0.02166,
8241,0.0228,
