X,Y,Sigma_x,Sigma_y,Tau_xy
0.115,-0.05,-49.3679869057215,-0.219220693903341,0.146205854147986
0.1175,-0.05,-49.3680854821556,-0.219222243176729,0.146199985291588
0.12,-0.05,-49.3681723741949,-0.219223604703177,0.146194639655689
0.1225,-0.05,-49.3682486898874,-0.219224796790859,0.146189785824847
0.125,-0.05,-49.3683154614544,-0.219225836412722,0.146185392185036
0.1275,-0.05,-49.3683736466982,-0.219226739245233,0.146181427335448
0.13,-0.05,-49.36842413105,-0.21922751972601,0.146177860426856
0.1325,-0.05,-49.3684677301091,-0.219228191104348,0.146174661432339
0.135,-0.05,-49.368505192563,-0.219228765503594,0.146171801362495
0.1375,-0.05,-49.3685372033824,-0.219229253980375,0.146169252426561
0.14,-0.05,-49.3685643872073,-0.219229666586821,0.146166988151525
0.1425,-0.05,-49.3685873118453,-0.219230012440367,0.14616498346656
0.145,-0.05,-49.3686064918226,-0.219230299778296,0.146163214749991
0.1475,-0.05,-49.368622391931,-0.219230536022284,0.146161659852185
0.15,-0.05,-49.3686354307351,-0.219230727838705,0.146160298098114
0.1525,-0.05,-49.3686459839985,-0.219230881199562,0.146159110268792
0.155,-0.05,-49.3686543880026,-0.219231001435778,0.146158078570589
0.1575,-0.05,-49.3686609427375,-0.21923109329042,0.146157186589513
0.16,-0.05,-49.3686659149519,-0.219231160972689,0.146156419235811
0.1625,-0.05,-49.3686695410426,-0.219231208202572,0.146155762689484
0.165,-0.05,-49.3686720297846,-0.219231238253235,0.146155204334925
0.1675,-0.05,-49.3686735649015,-0.219231254004879,0.146154732687645
0.17,-0.05,-49.3686743074562,-0.219231257968347,0.146154337332444
0.1725,-0.05,-49.3686743980804,-0.21923125233035,0.146154008850643
0.175,-0.05,-49.3686739590518,-0.219231238992844,0.146153738748868
0.1775,-0.05,-49.3686730961945,-0.219231219592352,0.146153519397493
0.18,-0.05,-49.3686719006399,-0.219231195531343,0.146153343954528
0.1825,-0.05,-49.3686704504332,-0.219231168010991,0.146153206311469
0.185,-0.05,-49.3686688120061,-0.219231138048207,0.146153101027596
