X,Y,Disp_x,Disp_y
0,-0.05,0,-0.000479462900433222
0.0025,-0.05,-0.000114092076401937,-0.000484983889433199
0.005,-0.05,-0.000227625174290094,-0.000494575592728516
0.0075,-0.05,-0.00034105755568025,-0.000509417607975696
0.01,-0.05,-0.000454471287610968,-0.000529735831378492
0.0125,-0.05,-0.000567885352464752,-0.000555614595808468
0.015,-0.05,-0.000681303647498878,-0.000587094662538829
0.0175,-0.05,-0.000794726329153873,-0.000624198392077585
0.02,-0.05,-0.000908152826825093,-0.000666939147601107
0.0225,-0.05,-0.00102158260221732,-0.0007153254841659
0.025,-0.05,-0.00113501528322815,-0.000769363209590159
0.0275,-0.05,-0.00124845064095665,-0.000829056470298756
0.03,-0.05,-0.00136188854220254,-0.000894408355976746
0.0325,-0.05,-0.00147532891005414,-0.00096542125298331
0.035,-0.05,-0.00158877169687139,-0.00104209706014252
0.0375,-0.05,-0.00170221686721981,-0.001124437325806
0.04,-0.05,-0.00181566438763575,-0.0012124433380467
0.0425,-0.05,-0.00192911422081009,-0.00130611618591653
0.045,-0.05,-0.00204256632256151,-0.001405456802247
0.0475,-0.05,-0.00215602064055374,-0.00151046599433365
0.05,-0.05,-0.00226947711409566,-0.00162114446646536
0.0525,-0.05,-0.00238293567460429,-0.00173749283684468
0.055,-0.05,-0.00249639624646098,-0.00185951165057575
0.0575,-0.05,-0.00260985874808392,-0.00198720138984853
0.06,-0.05,-0.00272332309309966,-0.00212056248209172
0.0625,-0.05,-0.00283678919153481,-0.00225959530663135
0.065,-0.05,-0.00295025695097495,-0.00240430020023273
0.0675,-0.05,-0.00306372627765583,-0.00255467746179418
0.07,-0.05,-0.00317719707746471,-0.00271072735638515
0.0725,-0.05,-0.0032906692568387,-0.00287245011876769
0.075,-0.05,-0.00340414272355409,-0.00303984595650297
0.0775,-0.05,-0.00351761738740521,-0.00321291505271735
0.08,-0.05,-0.00363109316077542,-0.0033916575685834
0.0825,-0.05,-0.00374456995910483,-0.00357607364555773
0.085,-0.05,-0.00385804770126173,-0.00376616340740731
0.0875,-0.05,-0.00397152630982527,-0.00396192696204918
0.09,-0.05,-0.00408500571128807,-0.00416336440322324
0.0925,-0.05,-0.00419848583618715,-0.00437047581201405
0.095,-0.05,-0.0043119666191721,-0.00458326125823526
0.0975,-0.05,-0.00442544799901871,-0.00480172080168796
0.1,-0.05,-0.0045389299185961,-0.00502585449330311
0.1025,-0.05,-0.00465241232479485,-0.00525566237617705
0.105,-0.05,-0.00476589516842294,-0.00549114448650839
0.1075,-0.05,-0.00487937840407583,-0.00573230085444373
0.11,-0.05,-0.00499286198998631,-0.00597913150483935
0.1125,-0.05,-0.00510634588785912,-0.00623163645794553
0.115,-0.05,-0.00521983006269475,-0.00648981573001957
0.1175,-0.05,-0.00533331448260616,-0.00675366933387359
0.12,-0.05,-0.00544679911863198,-0.00702319727936241
0.1225,-0.05,-0.00556028394454859,-0.00729839957381679
0.125,-0.05,-0.00567376893668378,-0.00757927622242691
0.1275,-0.05,-0.00578725407373371,-0.0078658272285807
0.13,-0.05,-0.0059007393365848,-0.00815805259416106
0.1325,-0.05,-0.00601422470814171,-0.00845595231980627
0.135,-0.05,-0.00612771017316251,-0.00875952640513692
0.1375,-0.05,-0.00624119571810157,-0.00906877484895305
0.14,-0.05,-0.00635468133096072,-0.00938369764940448
0.1425,-0.05,-0.006468167001149,-0.00970429480413726
0.145,-0.05,-0.00658165271935109,-0.0100305663104189
0.1475,-0.05,-0.00669513847740443,-0.0103625121652446
0.15,-0.05,-0.006808624268185,-0.0107001323654275
0.1525,-0.05,-0.00692211008550145,-0.0110434269076732
0.155,-0.05,-0.00703559592399749,-0.0113923957886425
0.1575,-0.05,-0.00714908177906205,-0.0117470390050026
0.16,-0.05,-0.00726256764674697,-0.012107356553468
0.1625,-0.05,-0.00737605352369192,-0.0124733484308343
0.165,-0.05,-0.00748953940705588,-0.0128450146340031
0.1675,-0.05,-0.00760302529445513,-0.0132223551600022
0.17,-0.05,-0.007716511183907,-0.0136053700059997
0.1725,-0.05,-0.0078299970737793,-0.0139940591693134
0.175,-0.05,-0.00794348296274468,-0.0143884226474176
0.1775,-0.05,-0.00805696884973988,-0.0147884604379454
0.18,-0.05,-0.0081704547339292,-0.0151941725386895
0.1825,-0.05,-0.008283940614672,-0.0156055589476004
0.185,-0.05,-0.00839742649149388,-0.0160226196627831
0.1875,-0.05,-0.00851091236406109,-0.0164453546824922
0.19,-0.05,-0.008624398232158,-0.0168737640051268
0.1925,-0.05,-0.00873788409566725,-0.0173078476292236
0.195,-0.05,-0.00885136995455241,-0.0177476055534503
0.1975,-0.05,-0.00896485580884277,-0.0181930377765982
0.2,-0.05,-0.00907834165862014,-0.0186441442975751
0.2025,-0.05,-0.00919182750400735,-0.0191009251153974
0.205,-0.05,-0.00930531334515839,-0.0195633802291832
0.2075,-0.05,-0.0094187991822498,-0.0200315096381445
0.21,-0.05,-0.00953228501547342,-0.0205053133415809
0.2125,-0.05,-0.00964577084503008,-0.0209847913388717
0.215,-0.05,-0.00975925667112421,-0.0214699436294704
0.2175,-0.05,-0.00987274249395936,-0.0219607702128978
0.22,-0.05,-0.00998622831373423,-0.0224572710887361
0.2225,-0.05,-0.0100997141306394,-0.0229594462566238
0.225,-0.05,-0.0102131999448547,-0.0234672957162496
0.2275,-0.05,-0.0103266857565463,-0.0239808194673477
0.23,-0.05,-0.0104401715658653,-0.0245000175096933
0.2325,-0.05,-0.0105536573729455,-0.0250248898430977
0.235,-0.05,-0.0106671431779017,-0.025555436467404
0.2375,-0.05,-0.0107806289808287,-0.0260916573824834
0.24,-0.05,-0.0108941147817995,-0.0266335525882309
0.2425,-0.05,-0.0110076005808643,-0.0271811220845617
0.245,-0.05,-0.0111210863780491,-0.0277343658714074
0.2475,-0.05,-0.0112345721733546,-0.0282932839487127
0.25,-0.05,-0.0113480579667548,-0.028857876316431
0.2525,-0.05,-0.0114615437581957,-0.0294281429745214
0.255,-0.05,-0.0115750295475941,-0.0300040839229449
0.2575,-0.05,-0.0116885153348359,-0.03058569916166
0.26,-0.05,-0.0118020011197749,-0.0311729886906189
0.2625,-0.05,-0.0119154869022309,-0.0317659525097633
0.265,-0.05,-0.0120289726819884,-0.0323645906190193
0.2675,-0.05,-0.0121424584587945,-0.0329689030182928
0.27,-0.05,-0.0122559442323575,-0.0335788897074637
0.2725,-0.05,-0.012369430002345,-0.0341945506863799
0.275,-0.05,-0.012482915768382,-0.0348158859548512
0.2775,-0.05,-0.0125964015300496,-0.0354428955126412
0.28,-0.05,-0.0127098872868827,-0.0360755793594602
0.2825,-0.05,-0.0128233730383695,-0.0367139374949561
0.285,-0.05,-0.0129368587839495,-0.0373579699187045
0.2875,-0.05,-0.0130503445230131,-0.0380076766301988
0.29,-0.05,-0.0131638302549009,-0.0386630576288376
0.2925,-0.05,-0.013277315978904,-0.0393241129139128
0.295,-0.05,-0.0133908016942647,-0.0399908424845952
0.2975,-0.05,-0.013504287400178,-0.0406632463399191
0.3,-0.05,-0.0136177730957946,-0.0413413244787659
0.3025,-0.05,-0.0137312587802244,-0.0420250768998461
0.305,-0.05,-0.0138447444525421,-0.0427145036016795
0.3075,-0.05,-0.0139582301117944,-0.0434096045825745
0.31,-0.05,-0.0140717157570087,-0.0441103798406053
0.3125,-0.05,-0.0141852013872054,-0.0448168293735878
0.315,-0.05,-0.0142986870014117,-0.0455289531790539
0.3175,-0.05,-0.0144121725986795,-0.0462467512542247
0.32,-0.05,-0.0145256581781067,-0.0469702235959813
0.3225,-0.05,-0.0146391437388627,-0.0476993702008358
0.325,-0.05,-0.014752629280219,-0.0484341910649001
0.3275,-0.05,-0.0148661148015853,-0.0491746861838544
0.33,-0.05,-0.0149796003025517,-0.0499208555529149
0.3325,-0.05,-0.0150930857829383,-0.050672699166802
0.335,-0.05,-0.0152065712428522,-0.0514302170197087
0.3375,-0.05,-0.0153200566827544,-0.0521934091052701
0.34,-0.05,-0.0154335421035357,-0.0529622754165351
0.3425,-0.05,-0.0155470275066043,-0.0537368159459406
0.345,-0.05,-0.0156605128939855,-0.0545170306852906
0.3475,-0.05,-0.0157739982684351,-0.0553029196257402
0.35,-0.05,-0.0158874836335673,-0.0560944827577868
0.3525,-0.05,-0.016000968994,-0.0568917200712706
0.355,-0.05,-0.0161144543555163,-0.0576946315553864
0.3575,-0.05,-0.0162279397252469,-0.058503217198709
0.36,-0.05,-0.0163414251118722,-0.0593174769892361
0.3625,-0.05,-0.0164549105258476,-0.0601374109144508
0.365,-0.05,-0.0165683959796514,-0.0609630189614097
0.3675,-0.05,-0.016681881488059,-0.0617943011168587
0.37,-0.05,-0.0167953670684422,-0.062631257367384
0.3725,-0.05,-0.0169088527410968,-0.0634738876996021
0.375,-0.05,-0.0170223385295965,-0.0643221921003974
0.3775,-0.05,-0.0171358244611763,-0.0651761705572125
0.38,-0.05,-0.0172493105671418,-0.0660358230584019
0.3825,-0.05,-0.0173627968833058,-0.0669011495936557
0.385,-0.05,-0.017476283450449,-0.0677721501545057
0.3875,-0.05,-0.017589770314801,-0.0686488247349226
0.39,-0.05,-0.0177032575285387,-0.0695311733320181
0.3925,-0.05,-0.0178167451502936,-0.0704191959468639
0.395,-0.05,-0.0179302332456623,-0.0713128925854413
0.3975,-0.05,-0.018043721887706,-0.0722122632597357
0.4,-0.05,-0.018157211157429,-0.0731173079889923
