X,Y,Sigma_x,Sigma_y,Tau_xy
0.1325,-0.05,-49.1458330070438,-0.21823954748766,0.145515465008226
0.135,-0.05,-49.1458703025582,-0.21824011927999,0.145512617989025
0.1375,-0.05,-49.1459021713547,-0.218240605537749,0.145510080721876
0.14,-0.05,-49.1459292352967,-0.218241016269341,0.145507826854641
0.1425,-0.05,-49.1459520596753,-0.21824136054796,0.145505831432694
0.145,-0.05,-49.1459711567443,-0.218241646576427,0.145504070942991
0.1475,-0.05,-49.1459869892525,-0.21824188174327,0.145502523336902
0.15,-0.05,-49.1459999739317,-0.218242072684522,0.145501168037212
0.1525,-0.05,-49.146010484912,-0.218242225346337,0.145499985914892
0.155,-0.05,-49.1460188570226,-0.218242345038143,0.1454989592575
0.1575,-0.05,-49.146025388969,-0.218242436482119,0.145498071727564
0.16,-0.05,-49.1460303463683,-0.218242503867674,0.145497308307867
0.1625,-0.05,-49.1460339646273,-0.218242550898174,0.145496655244736
0.165,-0.05,-49.1460364516589,-0.218242580835279,0.145496099980297
0.1675,-0.05,-49.146037990441,-0.218242596547299,0.145495631085859
0.17,-0.05,-49.1460387413925,-0.218242600535505,0.145495238194612
0.1725,-0.05,-49.146038844598,-0.218242594981259,0.145494911932916
0.175,-0.05,-49.1460384218692,-0.218242581778686,0.145494643849754
0.1775,-0.05,-49.1460375786402,-0.218242562557936,0.145494426347043
0.18,-0.05,-49.1460364057112,-0.218242538720336,0.145494252617807
0.1825,-0.05,-49.1460349808558,-0.218242511462967,0.145494116580813
0.185,-0.05,-49.1460333702802,-0.218242481800766,0.14549401281823
0.1875,-0.05,-49.1460316299508,-0.218242450594191,0.14549393652006
0.19,-0.05,-49.146029806802,-0.218242418554636,0.145493883427487
0.1925,-0.05,-49.1460279398269,-0.218242386278375,0.145493849780784
0.195,-0.05,-49.1460260610544,-0.218242354250805,0.145493832273307
0.1975,-0.05,-49.1460241964371,-0.218242322865652,0.145493828002535
0.2,-0.05,-49.1460223666314,-0.218242292439733,0.145493834431466
0.2025,-0.05,-49.1460205876942,-0.218242263213398,0.145493849345861
0.205,-0.05,-49.1460188717186,-0.21824223537709,0.145493870821446
0.2075,-0.05,-49.1460172273667,-0.218242209067337,0.145493897186965
0.21,-0.05,-49.1460156603582,-0.218242184375036,0.145493926998902
0.2125,-0.05,-49.1460141738943,-0.218242161360086,0.145493959007428
0.215,-0.05,-49.1460127690159,-0.218242140054761,0.145493992136313
0.2175,-0.05,-49.1460114449244,-0.218242120460977,0.145494025450746
0.22,-0.05,-49.1460101992446,-0.21824210256091,0.145494058144993
0.2225,-0.05,-49.1460090282631,-0.218242086326003,0.145494089524165
0.225,-0.05,-49.146007927113,-0.218242071709062,0.145494118978382
0.2275,-0.05,-49.146006889939,-0.218242058653068,0.145494145965797
0.23,-0.05,-49.1460059100178,-0.218242047095334,0.145494170012943
0.2325,-0.05,-49.1460049798658,-0.218242036959056,0.145494190686776
0.235,-0.05,-49.1460040913223,-0.218242028171326,0.14549420758699
0.2375,-0.05,-49.1460032356013,-0.21824202064498,0.145494220339866
0.24,-0.05,-49.1460024033297,-0.218242014289894,0.145494228585577
